Keys,English,Vietnamese,Chinese (Simplified),$Chinese (Traditional),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_TUTORIAL_CHAPTER_2_STEP_1,"When no Hero remain on the board or when the time runs out, the phase will end, and the Champion with more Hero remaining will win.","Khi không còn Anh hùng nào trên bàn cờ hoặc khi hết thời gian, giai đoạn sẽ kết thúc và Nhà vô địch còn lại nhiều Anh hùng hơn sẽ giành chiến thắng.",当棋盘上没有剩余英雄或时间耗尽时，该阶段将结束，剩余英雄较多的冠军将获胜。,,ボード上にヒーローが残っていない場合、または時間がなくなるとフェーズは終了し、より多くのヒーローが残っているチャンピオンが勝利します。,"Lorsqu'il ne reste plus aucun Héros sur le plateau ou lorsque le temps imparti est écoulé, la phase se terminera et le Champion avec le plus de Héros restant gagnera.","Wenn kein Held mehr auf dem Spielbrett ist oder die Zeit abgelaufen ist, endet die Phase und der Champion mit den meisten verbleibenden Helden gewinnt.","Cuando no quede ningún Héroe en el tablero o cuando se acabe el tiempo, la fase terminará y el Campeón al que le queden más Héroes ganará.","Quando nenhum Herói permanecer no tabuleiro ou quando o tempo acabar, a fase terminará e o Campeão com mais Heróis restantes vencerá.",عندما لا يبقى أي بطل على اللوحة أو عندما ينتهي الوقت، ستنتهي المرحلة، وسيفوز البطل الذي بقي لديه المزيد من الأبطال.,"Когда на поле не останется ни одного Героя или когда время истечет, фаза завершится, и победит Чемпион, у которого останется больше Героев.",보드에 영웅이 남아 있지 않거나 시간이 종료되면 단계가 종료되고 영웅이 더 많이 남은 챔피언이 승리합니다.,"Quando non rimane alcun Eroe sul tabellone o quando scade il tempo, la fase finirà e vincerà il Campione con più Eroe rimasto.","जब कोई हीरो बोर्ड पर नहीं रहेगा या जब समय समाप्त हो जाएगा, तो चरण समाप्त हो जाएगा, और अधिक हीरो शेष रहने वाला चैंपियन जीत जाएगा।","Kapag walang Hero na nananatili sa board o kapag natapos na ang oras, matatapos ang phase, at ang Champion na may higit pang Hero ang mananalo.","Ketika tidak ada Pahlawan yang tersisa di papan atau ketika waktu habis, fase akan berakhir, dan Juara dengan sisa Pahlawan lebih banyak akan menang.",เมื่อไม่มีฮีโร่เหลืออยู่บนกระดานหรือเมื่อหมดเวลา เฟสจะสิ้นสุดลง และแชมเปี้ยนที่มีฮีโร่เหลือมากกว่าจะเป็นผู้ชนะ,"Tahtada hiç Kahraman kalmadığında veya süre dolduğunda, aşama sona erecek ve daha fazla Kahramanı kalan Şampiyon kazanacaktır."
TXT_TUTORIAL_CHAPTER_2_STEP_2,You've won a round! Your opponent loses a shield.,Bạn đã thắng một ván! Đối thủ của bạn mất lá chắn.,你赢了一轮！你的对手失去了盾牌。,,ラウンドに勝利しました!相手はシールドを失います。,Vous avez gagné une manche ! Votre adversaire perd un bouclier.,Du hast eine Runde gewonnen! Dein Gegner verliert einen Schild.,¡Has ganado una ronda! Tu oponente pierde un escudo.,Você ganhou uma rodada! Seu oponente perde um escudo.,لقد فزت بجولة! خصمك يفقد الدرع.,Вы выиграли раунд! Ваш противник теряет щит.,당신은 라운드에서 승리했습니다! 상대는 방패를 잃습니다.,Hai vinto un round! Il tuo avversario perde uno scudo.,आपने एक राउंड जीत लिया है! आपका प्रतिद्वंद्वी एक ढाल खो देता है।,Nanalo ka ng isang round! Nawalan ng kalasag ang iyong kalaban.,Anda telah memenangkan satu ronde! Lawanmu kehilangan perisainya.,คุณชนะรอบแล้ว! คู่ต่อสู้ของคุณสูญเสียโล่,Bir tur kazandınız! Rakibiniz bir kalkan kaybeder.
TXT_TUTORIAL_CHAPTER_2_STEP_3,"Remember, whoever takes all the opponent's shield wins!","Hãy nhớ rằng, ai lấy hết khiên của đối thủ sẽ thắng!",记住，谁拿走所有对手的盾牌，谁就获胜！,,相手のシールドをすべて奪った人が勝ちだということを覚えておいてください。,N'oubliez pas que celui qui prend tout le bouclier de l'adversaire gagne !,"Denken Sie daran: Wer alle Schilde des Gegners nimmt, gewinnt!","Recuerda, ¡quien tome todo el escudo del oponente gana!","Lembre-se, quem pegar todo o escudo do oponente vence!",تذكر، من يأخذ كل درع الخصم يفوز!,"Помните, побеждает тот, кто заберет весь щит противника!",상대의 방패를 모두 가져가는 사람이 승리한다는 점을 기억하세요!,"Ricorda, vince chi prende tutto lo scudo dell'avversario!","याद रखें, जो कोई भी प्रतिद्वंद्वी की सारी ढाल ले लेता है वह जीत जाता है!","Tandaan, kung sino ang kumuha ng lahat ng kalasag ng kalaban ay panalo!","Ingat, siapa pun yang mengambil semua perisai lawan, dialah pemenangnya!",จำไว้ว่าใครก็ตามที่รับโล่ของคู่ต่อสู้ไปจนหมดจะเป็นผู้ชนะ!,"Unutmayın, rakibin kalkanının tamamını alan kazanır!"
TXT_TUTORIAL_CHAPTER_3_INTERACTION_1,Drag the Flame Furry and merge to upgrade.,Kéo Flame Furry và hợp nhất để nâng cấp.,拖动火焰毛茸茸并合并即可升级。,,Flame Furry をドラッグして結合し、アップグレードします。,Faites glisser le Flame Furry et fusionnez pour mettre à niveau.,"Ziehen Sie den Flame Furry und verschmelzen Sie ihn, um ein Upgrade durchzuführen.",Arrastra Flame Furry y fusiona para actualizar.,Arraste o Flame Furry e mescle para atualizar.,اسحب Flame Furry وادمجه للترقية.,"Перетащите Flame Furry и объедините его, чтобы улучшить.",Flame Furry를 드래그하고 병합하여 업그레이드하세요.,Trascina la Fiamma Furry e uniscila per aggiornarla.,फ्लेम फ्यूरी को खींचें और अपग्रेड करने के लिए मर्ज करें।,I-drag ang Flame Furry at pagsamahin para mag-upgrade.,Seret Flame Furry dan gabungkan untuk meningkatkan.,ลาก Flame Furry แล้วรวมเข้าด้วยกันเพื่ออัปเกรด,Alev Tüylü'yü sürükleyin ve yükseltmek için birleştirin.
TXT_TUTORIAL_CHAPTER_3_INTERACTION_2,Drag the Flame Furry and merge to make a 4 stars,Kéo Flame Furry và hợp nhất để tạo thành 4 sao,拖动火焰毛茸茸并合并以形成 4 颗星,,炎の毛皮をドラッグして結合して 4 つ星を作ります,Faites glisser le Flame Furry et fusionnez pour créer un 4 étoiles,"Ziehen Sie das Flammenfell und verschmelzen Sie es, um 4 Sterne zu erhalten",Arrastra Flame Furry y fusiona para formar 4 estrellas.,Arraste o Flame Furry e mescle para formar 4 estrelas,اسحب Flame Furry وادمجه لتكوين 4 نجوم,"Перетащите Flame Furry и объедините, чтобы получилось 4 звезды.",Flame Furry를 드래그하고 합쳐서 별 4개를 만드세요.,Trascina la Fiamma Furry e uniscila per creare un 4 stelle,फ्लेम फ़री को खींचें और 4 स्टार बनाने के लिए मर्ज करें,I-drag ang Flame Furry at pagsamahin upang makagawa ng 4 na bituin,Seret Flame Furry dan gabungkan untuk membuat 4 bintang,ลาก Flame Furry แล้วรวมเข้าด้วยกันเพื่อสร้าง 4 ดาว,Alev Tüylü'yü sürükleyin ve 4 yıldız oluşturmak için birleştirin
TXT_TUTORIAL_CHAPTER_3_STEP_1,You can merge the same type of Hero to upgrade.,Bạn có thể hợp nhất các Anh hùng cùng loại để nâng cấp.,可以合并同类型的英雄进行升级。,,同じタイプのヒーローを合成してアップグレードできます。,Vous pouvez fusionner le même type de héros pour le mettre à niveau.,"Sie können denselben Heldentyp zusammenführen, um ein Upgrade durchzuführen.",Puedes fusionar el mismo tipo de héroe para mejorar.,Você pode mesclar o mesmo tipo de herói para atualizar.,يمكنك دمج نفس نوع البطل للترقية.,Вы можете объединить героев одного типа для улучшения.,동일한 유형의 영웅을 병합하여 업그레이드할 수 있습니다.,Puoi unire lo stesso tipo di eroe per aggiornarlo.,अपग्रेड करने के लिए आप उसी प्रकार के हीरो को मर्ज कर सकते हैं।,Maaari mong pagsamahin ang parehong uri ng Hero para mag-upgrade.,Anda dapat menggabungkan jenis Pahlawan yang sama untuk ditingkatkan.,คุณสามารถรวมฮีโร่ประเภทเดียวกันเพื่ออัพเกรดได้,Yükseltmek için aynı türdeki Kahramanları birleştirebilirsiniz.
TXT_TUTORIAL_CHAPTER_3_STEP_2,"Excellent!
You've upgraded the Hero to 2 stars.","Xuất sắc!
Bạn đã nâng cấp Anh hùng lên 2 sao.","出色的！
您已将英雄升级至 2 星。",,"素晴らしい！
ヒーローを 2 つ星にアップグレードしました。","Excellent!
Vous avez amélioré le héros à 2 étoiles.","Exzellent!
Du hast den Helden auf 2 Sterne aufgewertet.","¡Excelente!
Has mejorado el héroe a 2 estrellas.","Excelente!
Você atualizou o herói para 2 estrelas.","ممتاز!
لقد قمت بترقية البطل إلى نجمتين.","Отличный!
Вы повысили Героя до 2 звезд.","훌륭한!
영웅을 별 2개로 업그레이드했습니다.","Eccellente!
Hai potenziato l'Eroe a 2 stelle.","उत्कृष्ट!
आपने हीरो को 2 स्टार तक अपग्रेड कर दिया है।","Magaling!
Na-upgrade mo ang Hero sa 2 star.","Bagus sekali!
Anda telah meningkatkan Pahlawan menjadi 2 bintang.","ยอดเยี่ยม!
คุณได้อัพเกรดฮีโร่เป็น 2 ดาว","Harika!
Kahramanı 2 yıldıza yükselttiniz."
TXT_TUTORIAL_CHAPTER_3_STEP_3,You can only merge with the same type of Hero and increase 1 star count at a time.,Bạn chỉ có thể hợp nhất với cùng loại Anh hùng và tăng số lượng 1 sao mỗi lần.,您只能与同类型的英雄合并并一次增加 1 颗星数。,,同じタイプのヒーローとのみ合体して、一度に 1 つ星の数を増やすことができます。,Vous ne pouvez fusionner qu’avec le même type de héros et augmenter le nombre d’étoiles à la fois.,Du kannst nur mit Helden desselben Typs fusionieren und die Anzahl der Sterne jeweils um 1 erhöhen.,Solo puedes fusionarte con el mismo tipo de héroe y aumentar el número de 1 estrella a la vez.,Você só pode fundir-se com o mesmo tipo de herói e aumentar a contagem de 1 estrela por vez.,يمكنك فقط الدمج مع نفس نوع البطل وزيادة عدد النجوم بمقدار نجمة واحدة في كل مرة.,Вы можете объединиться только с героем того же типа и увеличить количество звезд на 1 за раз.,"동일한 유형의 영웅과만 병합할 수 있으며, 한 번에 1개의 별 수를 늘릴 수 있습니다.",Puoi unirti solo con lo stesso tipo di eroe e aumentare il numero di stelle di 1 alla volta.,आप केवल एक ही प्रकार के हीरो के साथ विलय कर सकते हैं और एक बार में 1 स्टार की संख्या बढ़ा सकते हैं।,Maaari ka lang magsama sa parehong uri ng Hero at taasan ang 1 star count sa bawat pagkakataon.,Anda hanya dapat bergabung dengan jenis Pahlawan yang sama dan meningkatkan jumlah 1 bintang dalam satu waktu.,คุณสามารถรวมเข้ากับฮีโร่ประเภทเดียวกันเท่านั้น และเพิ่มจำนวนดาวได้ครั้งละ 1 ดวง,Yalnızca aynı türdeki Kahramanlarla birleşebilir ve tek seferde 1 yıldız sayısını artırabilirsiniz.
TXT_TUTORIAL_CHAPTER_4_INTERACTION_1,Try tapping the opponent's Steel Blader.,Hãy thử chạm vào Steel Blader của đối thủ.,尝试点击对手的钢刃。,,相手のスティール・ブレーダーをタップしてみましょう。,Essayez d'appuyer sur le Steel Blader de l'adversaire.,"Versuchen Sie, auf den Steel Blader des Gegners zu tippen.",Intenta tocar el Steel Blader del oponente.,Tente virar o Steel Blader do oponente.,حاول النقر على الشفرة الفولاذية للخصم.,Попробуйте коснуться Стального клинка противника.,상대의 스틸 블레이더를 탭해 보세요.,Prova a toccare lo Steel Blader dell'avversario.,प्रतिद्वंद्वी के स्टील ब्लेडर को टैप करने का प्रयास करें।,Subukang i-tap ang Steel Blader ng kalaban.,Coba ketuk Steel Blader lawan.,ลองแตะ Steel Blader ของคู่ต่อสู้,Rakibin Çelik Kılıç'ına dokunmayı deneyin.
TXT_TUTORIAL_CHAPTER_4_INTERACTION_2,Try tapping the Wind Dancer on your board.,Hãy thử chạm vào Wind Dancer trên bảng của bạn.,尝试点击板上的风舞者。,,ボード上のウィンドダンサーをタップしてみてください。,Essayez d'appuyer sur le Wind Dancer sur votre tableau.,"Versuchen Sie, den Windtänzer auf Ihrem Brett anzutippen.",Intenta tocar el Wind Dancer en tu tablero.,Tente tocar no Wind Dancer em seu tabuleiro.,حاول النقر على Wind Dancer على لوحتك.,Попробуйте коснуться Танцора Ветра на своей доске.,보드에서 Wind Dancer를 탭해 보세요.,Prova a toccare il Wind Dancer sulla tua tavola.,अपने बोर्ड पर विंड डांसर को टैप करने का प्रयास करें।,Subukang i-tap ang Wind Dancer sa iyong board.,Coba ketuk Penari Angin di papan Anda.,ลองแตะนักเต้นสายลมบนกระดานของคุณ,Tahtanızdaki Rüzgar Dansçısına dokunmayı deneyin.
