Keys,English,Vietnamese,Chinese (Simplified),$Chinese (Traditional),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_ACHIEVED,Achieved,Đạt Được,达到了,達到了,達成,Atteint,Erreicht,Logrado,Alcançou,حقق,Достигнуто,달성,Raggiunto,हासिल,Nakamit,Tercapai,ประสบความสำเร็จ,Başardı
TXT_ACHIEVE_X_PERFECT_VICTORY,Achieve {x} Perfect Victory,Đạt được {x} Chiến Thắng Hoàn Hảo,取得{x}完美胜利,取得{x}完美勝利,{x} 個の完璧な勝利を達成する,Obtenez {x} Victoire Parfaite,Erreiche {x} Perfekten Sieg,Consigue {x} Victoria Perfecta,Alcance {x} Vitória Perfeita,حقق {x} نصرًا مثاليًا,достичь {x} идеальной победы,{x} 완벽한 승리 달성,Ottieni {x} Vittoria Perfetta,{x} उत्तम विजय प्राप्त करें,Makamit Ang {x} Perpektong Tagumpay,Raih {x} Kemenangan Sempurna,บรรลุชัยชนะอันสมบูรณ์แบบ {x},{x} Kusursuz Zafere Ulaşın
TXT_ACTIVATION,Activation,Kích Hoạt,激活,啟用設定,アクティベーション,Activation,Aktivierung,Activación,Ativação,التنشيط,Активация,활성화,Attivazione,सक्रियण,Activation,Pengaktifan,การเปิดใช้งาน,Aktivasyon
TXT_ACTIVATION_HP_PERCENT,Activation HP (%),Máu Kích Hoạt (%),激活马力(%),啟動馬力(%),発動HP(%),PV D'activation (%),Aktivierung PS (%),CV De Activación (%),HP De Ativação (%),قوة التنشيط (%),Активация Хп (%),활성화 마력(%),CV Di Attivazione (%),सक्रियण एचपी (%),Pag-Activate Ng Hp (%),Aktivasi Hp (%),แรงม้าการเปิดใช้งาน (%),Etkinleştirme Hp (%)
TXT_ACTIVATION_PERCENT,Activation (%),Kích Hoạt (%),激活 （％）,啟用設定 (%),活性化 (%),Activation (%),Aktivierung (%),Activación (%),Ativação (%),التنشيط (%),Активация (%),활성화(%),Attivazione (%),सक्रियण (%),Pag-Activate (%),Aktivasi (%),การเปิดใช้งาน (%),Aktivasyon (%)
TXT_ACTIVATION_TIME_SEC,Activation Time (sec),Thời Lượng Kích Hoạt (giây),激活时间（秒）,啟動時間（秒）,起動時間(秒),Temps D'activation (sec),Aktivierungszeit (sek.),Tiempo De Activación (seg),Tempo De Ativação (seg),وقت التنشيط (ثانية),время активации (сек),활성화 시간(초),Tempo Di Attivazione (sec),सक्रियण समय (सेकंड),Oras Ng Pag-Activate (seg),Waktu Aktivasi (detik),เวลาเปิดใช้งาน (วินาที),Aktivasyon Süresi (sn)
TXT_ADDITIONAL_DMG,Additional DMG,Sát Thương Cộng Thêm,额外伤害,額外傷害,追加ダメージ,Dégâts Supplémentaires,Zusätzlicher Schaden,Daño Adicional,Dano Adicional,ضرر إضافي,Дополнительный Урон,추가 피해,Ulteriore Danno,अतिरिक्त क्षति,Karagdagang Pinsala,Kerusakan Tambahan,ความเสียหายเพิ่มเติม,Ek Hasar
TXT_ALL,All,Tất Cả,全部,,全て,Tous,Alle,Todo,Todos,الجميع,Все,모두,Tutto,सभी,Lahat,Semua,ทั้งหมด,Tümü
TXT_ALLIANCE_POWER_UP,Alliance Power Up,Liên Minh Tăng Sức Mạnh,联盟力量提升,,同盟パワーアップ,Mise Sous Tension De L'alliance,Allianz-Power-Up,Potenciación De La Alianza,Poder Da Aliança,قوة التحالف تصل,Усиление Альянса,동맹 강화,L'alleanza Si Potenzia,गठबंधन शक्ति ऊपर,Lakas Ng Alyansa,Kekuatan Aliansi Meningkat,พันธมิตรเพิ่มพลัง,Ittifakın Gücü Artıyor
TXT_ALLY_ATK_SPD_UP_PERCENT,Ally ATK Speed Up (%),Tăng Tốc Độ Tấn Công Của Đồng Minh (%),友军攻击速度提升(%),友軍攻擊速度提升(%),味方の攻撃速度アップ(%),Accélération De L'attaque Des Alliés (%),Angriffsgeschwindigkeit Des Verbündeten (%),Aceleración Del Ataque Aliado (%),Velocidade De Ataque Aliado (%),تسريع هجوم الحلفاء (%),Ускорение Атаки Союзника (%),아군 공격 속도 증가(%),Velocità Di Attacco Degli Alleati (%),सहयोगी हमले की गति तेज (%),Bumilis Ang Pag-Atake Ng Kaalyado (%),Kecepatan Serangan Sekutu (%),ความเร็วในการโจมตีพันธมิตรเพิ่มขึ้น (%),Müttefik Saldırı Hızı Artışı (%)
TXT_ALL_TYPES,All Types,Tất Cả Các Loại,所有类型,,すべてのタイプ,Tous Types,Alle Arten,Todos Los Tipos,Todos Os Tipos,جميع الأنواع,Все Типы,모든 유형,Tutti I Tipi,सभी प्रकार,Lahat Ng Uri,Semua Jenis,ทุกประเภท,Her Tür
TXT_AMATEUR,Amateur,Nghiệp Dư,业余,,アマチュア,Amateur,Amateur,Aficionado,Amador,الهاوي,Любитель,아마추어,Dilettante,शौकिया,Baguhan,Amatir,มือสมัครเล่น,Amatör
TXT_AMATEUR_PACKAGE,Amateur Package,Gói Nghiệp Dư,业余包,,アマチュアパッケージ,Forfait Amateur,Amateurpaket,Paquete Aficionado,Pacote Amador,حزمة الهواة,Любительский Пакет,아마추어 패키지,Pacchetto Amatoriale,शौकिया पैकेज,Amateur Na Pakete,Paket Amatir,แพ็คเกจสมัครเล่น,Amatör Paket
TXT_AMATEUR_PASS,Amateur Pass,Sổ Nghiệp Dư,业余通行证,業餘通行證,アマチュアパス,Passe Amateur,Amateurpass,Pase De Aficionado,Passe Amador,تمرير الهواة,Любительский Проход,아마추어 패스,Passaggio Amatoriale,शौकिया पास,Amateur Pass,Umpan Amatir,ผ่านมือสมัครเล่น,Amatör Geçiş
TXT_AMATEUR_PREMIUM_PASS,Amateur Premium Pass,Vé Cao Cấp Nghiệp Dư,业余高级通行证,業餘高級通行證,アマチュアプレミアムパス,Pass Premium Amateur,Amateur-Premium-Pass,Pase Premium Aficionado,Passe Premium Amador,تمريرة قسط الهواة,Любительский Премиальный Пропуск,아마추어 프리미엄 패스,Abbonamento Premium Amatoriale,शौकिया प्रीमियम पास,Amateur Premium Pass,Tiket Premium Amatir,บัตรผ่านพรีเมี่ยมสมัครเล่น,Amatör Premium Geçiş
TXT_ANNOUNCEMENT,Announcement,Thông Báo,公告,公告,発表,Annonce,Bekanntmachung,Anuncio,Anúncio,إعلان,Объявление,발표,Annuncio,घोषणा,Anunsyo,Pengumuman,ประกาศ,Duyuru
TXT_APPLY,Apply,Áp Dụng,申请,申請,適用する,Appliquer,Anwenden,Aplicar,Aplicar,يتقدم,Применять,적용하다,Fare Domanda A,आवेदन करना,Mag-Apply,Menerapkan,นำมาใช้,Uygula
TXT_ARE_YOU_SURE_YOU_WANT_TO_BUY_THIS_ITEM,Are you sure you want to buy this item?,Bạn có chắc chắn muốn mua mặt hàng này?,您确定要购买此商品吗？,,この商品を購入してもよろしいですか?,Êtes-vous sûr de vouloir acheter cet article ?,"Sind Sie sicher, dass Sie diesen Artikel kaufen möchten?",¿Estás seguro de que quieres comprar este artículo?,Tem certeza de que deseja comprar este item?,هل أنت متأكد أنك تريد شراء هذا البند؟,"Вы уверены, что хотите купить этот товар?",이 품목을 구매하시겠습니까?,Sei sicuro di voler acquistare questo articolo?,क्या आप वाकई यह आइटम खरीदना चाहते हैं?,Sigurado ka bang gusto mong bilhin ang item na ito?,Apakah Anda yakin ingin membeli barang ini?,คุณแน่ใจหรือไม่ว่าต้องการซื้อรายการนี้?,Bu ürünü satın almak istediğinizden emin misiniz?
TXT_ARRANGEMENT_EFFECTS,Arrangement Effects,Hiệu Ứng Sắp Xếp,排列效果,排列效果,アレンジ効果,Effets D'arrangement,Arrangement-Effekte,Efectos De Arreglo,Efeitos De Arranjo,آثار الترتيب,Эффекты Аранжировки,편곡 효과,Effetti Di Arrangiamento,व्यवस्था प्रभाव,Mga Epekto Ng Pagsasaayos,Efek Pengaturan,ผลการจัดเรียง,Düzenleme Efektleri
TXT_ASSASSIN,Assassin,Sát Thủ,刺客,,暗殺者,Assassin,Attentäter,Asesino,Assassino,قاتل,Убийца,암살자,Assassino,हत्यारा,Mamamatay-Tao,Pembunuh,นักฆ่า,Suikastçı
TXT_ATK,ATK,Sức Tấn Công,攻击力,攻擊力,攻撃,Attaque,Atk,Atk,Atk,هجوم,Атаковать,공격,Att,Atk,Atk,Atk,โจมตี,Saldırı
TXT_ATK_RANGE,ATK Range,Tầm Tấn Công,攻击范围,攻擊範圍,攻撃範囲,Portée D'attaque,Angriffsbereich,Rango De Ataque,Alcance De Ataque,نطاق الهجوم,Диапазон Атаки,공격 범위,Portata Di Attacco,एटीके रेंज,Hanay Ng Atk,Jangkauan Serangan,ช่วงโจมตี,Saldırı Aralığı
TXT_ATK_SPD,ATK Speed,Tốc Độ Tấn Công,攻击速度,攻擊速度,攻撃速度,Vitesse D'attaque,Angriffsgeschwindigkeit,Velocidad De Ataque,Velocidade De Ataque,سرعة الهجوم,Скорость Атаки,공격 속도,Velocità Di Attacco,एटीके गति,Bilis Ng Atk,Kecepatan Serangan,ความเร็วโจมตี,Saldırı Hızı
TXT_ATK_SPD_DOWN,ATK Speed Down (%),Tốc Độ Tấn Công Giảm (%),攻击速度下降(%),攻擊速度下降(%),攻撃速度ダウン(%),Vitesse D'attaque Réduite (%),Angriffsgeschwindigkeit Verringert (%),Reducción De Velocidad De Ataque (%),Redução De Velocidade Do Atk (%),سرعة الهجوم منخفضة (%),Снижение Скорости Атаки (%),공격 속도 감소(%),Velocità Di Attacco Ridotta (%),एटीके की गति कम (%),Atk Speed Down (%),Kecepatan Serangan Turun (%),ความเร็วโจมตีลดลง (%),Saldırı Hızı Düşüşü (%)
TXT_ATK_SPD_UP_PERCENT,ATK Speed Up (%),Tốc Độ Tấn Công Tăng (%),攻击速度提升(%),攻擊速度提升(%),攻撃速度アップ(%),Accélération De L'attaque (%),Angriffsgeschwindigkeit Erhöht (%),Aceleración Del Ataque (%),Velocidade De Ataque (%),سرعة الهجوم (%),Увеличение Скорости Атаки (%),공격 속도 증가(%),Velocità Di Attacco (%),हमले की गति तेज (%),Bilis Ng Pag-Atake (%),Kecepatan Serangan (%),ความเร็วในการโจมตีเพิ่มขึ้น (%),Saldırı Hızı Artışı (%)
TXT_ATTACK_COUNT,Attack Count,Số Lần Tấn Công,攻击次数,攻擊次數,攻撃回数,Nombre D'attaques,Angriffsanzahl,Recuento De Ataques,Contagem De Ataques,عدد الهجوم,Количество Атак,공격 횟수,Conteggio Degli Attacchi,हमले की गिनती,Bilang Ng Pag-Atake,Jumlah Serangan,จำนวนการโจมตี,Saldırı Sayısı
TXT_ATTACK_RANGE,Attack Range,Phạm Vi Tấn Công,攻击范围,攻擊範圍,攻撃範囲,Portée D'attaque,Angriffsreichweite,Rango De Ataque,Raio De Ataque,نطاق الهجوم,Диапазон Атаки,공격 범위,Raggio D'attacco,हमले की रेंज,Saklaw Ng Pag-Atake,Jangkauan Serangan,ระยะการโจมตี,Saldırı Menzili
TXT_AUCTION,Auction,Đấu Giá,拍卖,,オークション,Enchères,Auktion,Subasta,Leilão,مزاد,Аукцион,경매,Asta,नीलामी,Auction,Lelang,ประมูล,Açık Artırma
TXT_AUCTION_WARNING_1,"From now on, auctions cannot be canceled","Từ nay trở đi, cuộc đấu giá không thể bị hủy bỏ",从现在起，拍卖将无法取消,,今後、オークションのキャンセルはできなくなります,"Désormais, les enchères ne peuvent plus être annulées",Von nun an können Auktionen nicht mehr storniert werden,A partir de ahora las subastas no se podrán cancelar,"A partir de agora, os leilões não poderão ser cancelados",من الآن فصاعدا، لا يمكن إلغاء المزادات,Отныне аукционы нельзя отменить.,이제부터 경매를 취소할 수 없습니다.,D'ora in poi le aste non potranno essere annullate,अब से नीलामी रद्द नहीं की जा सकेगी,"Mula ngayon, hindi na maaaring kanselahin ang mga auction","Mulai sekarang, lelang tidak dapat dibatalkan",จากนี้ไปจะไม่สามารถยกเลิกการประมูลได้,Artık ihaleler iptal edilemeyecek
TXT_AUCTION_WARNING_2,"Be careful when filling in the data, you won't be able to cancel the auction.","Hãy cẩn thận khi điền dữ liệu, bạn sẽ không thể hủy phiên đấu giá.",填写数据时请小心，您将无法取消拍卖。,,オークションをキャンセルすることができなくなりますので、データを入力する際は注意してください。,"Soyez prudent lorsque vous remplissez les données, vous ne pourrez pas annuler l'enchère.","Seien Sie beim Ausfüllen der Daten vorsichtig, Sie können die Auktion nicht abbrechen.","Ten cuidado al rellenar los datos, no podrás cancelar la subasta.","Tenha cuidado ao preencher os dados, você não poderá cancelar o leilão.",كن حذرًا عند ملء البيانات، فلن تتمكن من إلغاء المزاد.,"Будьте внимательны при заполнении данных, отменить аукцион вы не сможете.",데이터를 입력할 때 주의하세요. 경매를 취소할 수 없습니다.,"Fai attenzione quando inserisci i dati, non potrai annullare l'asta.","डेटा भरते समय सावधान रहें, आप नीलामी रद्द नहीं कर पाएंगे।","Mag-ingat kapag pinupunan ang data, hindi mo magagawang kanselahin ang auction.","Hati-hati saat mengisi data, Anda tidak akan bisa membatalkan lelang.",โปรดใช้ความระมัดระวังในการกรอกข้อมูลคุณจะไม่สามารถยกเลิกการประมูลได้,"Verileri doldururken dikkatli olun, açık artırmayı iptal edemezsiniz."
TXT_AUTHENTICATE,Authenticate,Xác Thực Người Dùng,认证,,認証する,Authentifier,Authentifizieren,Autenticar,Autenticar,مصادقة,Аутентифицировать,인증하다,Autenticare,प्रमाणित,Patotohanan,Mengautentikasi,ตรวจสอบสิทธิ์,Kimlik Doğrulamak
TXT_AUTH_USER,Authenticating User,Xác Thực Người Dùng,验证用户,驗證用戶,ユーザーの認証,Authentification De L'utilisateur,Authentifizierung Des Benutzers,Autenticando Usuario,Autenticando Usuário,مصادقة المستخدم,Аутентифицирующий Пользователь,사용자 인증,Utente Autenticante,उपयोगकर्ता को प्रमाणित करना,Nagpapatunay Ng Gumagamit,Mengautentikasi Pengguna,รับรองผู้ใช้,Kimlik Doğrulaması Yapan Kullanıcı
TXT_AUTO_ADD,Auto Add,Tự Động Đặt,自动添加,,自動追加,Ajout Automatique,Automatisch Hinzufügen,Agregar Automáticamente,Adição Automática,إضافة تلقائية,Автоматическое Добавление,자동 추가,Aggiunta Automatica,स्वतः जोड़ें,Awtomatikong Idagdag,Tambahkan Otomatis,เพิ่มอัตโนมัติ,Otomatik Ekle
TXT_AUTO_TURN_OFF,Auto turn off after 10 seconds,Tự động tắt sau 10 giây,10秒后自动关闭,,10秒後に自動オフ,Arrêt automatique après 10 secondes,Automatische Abschaltung nach 10 Sekunden,Apagado automático después de 10 segundos.,Desligamento automático após 10 segundos,إيقاف التشغيل التلقائي بعد 10 ثوانٍ,Автоматическое выключение через 10 секунд,10초 후 자동 꺼짐,Spegnimento automatico dopo 10 secondi,10 सेकंड के बाद स्वतः बंद हो जाए,Awtomatikong i-off pagkatapos ng 10 segundo,Mati otomatis setelah 10 detik,ปิดอัตโนมัติหลังจากผ่านไป 10 วินาที,10 saniye sonra otomatik kapanma
TXT_AVAILABLE,Available,Có Sẵn,可用的,,利用可能,Disponible,Verfügbar,Disponible,Disponível,متاح,Доступный,사용 가능,Disponibile,उपलब्ध,Magagamit,Tersedia,มีอยู่,Mevcut
TXT_AVAILABLE_ITEMS,Available Items,Những Vật Phẩm Có Sẵn,可用项目,可用項目,利用可能なアイテム,Articles Disponibles,Verfügbare Artikel,Objetos Disponibles,Itens Disponíveis,القطع المتاحة,Доступные Предметы,사용 가능한 항목,Articoli Disponibili,उपलब्ध वस्तुएं,Magagamit Na Mga Item,Item Yang Tersedia,รายการที่มีอยู่,Uygun Ürünler
TXT_BACK,Return,Trở Về,返回,,戻る,Retour,Zurückkehren,Devolver,Retornar,يعود,Возвращаться,반품,Ritorno,वापस करना,Bumalik,Kembali,กลับ,Geri Dönmek
TXT_BARRIER,Barrier,Lá Chắn,障碍,障礙,バリア,Barrière,Barriere,Barrera,Barreira,حاجز,Барьер,장벽,Barriera,रुकावट,Hadlang,Penghalang,สิ่งกีดขวาง,Bariyer
TXT_BASIC,Basic,Cơ bản,基本的,預設,基本的な,Basique,Basic,Básico,Básico,أساسي,Базовый,기초적인,Di Base,बुनियादी,Basic,Dasar,ขั้นพื้นฐาน,Temel
TXT_BASIC_PACKAGE,Basic Package,Gói Cơ Bản,基本套餐,基本套餐,基本パッケージ,Paquet De Base,Basispaket,Paquete Básico,Pacote Básico,الحزمة الأساسية,Базовый Пакет,기본 패키지,Pacchetto Base,बुनियादी पैकेज,Pangunahing Pakete,Paket Dasar,แพ็คเกจพื้นฐาน,Temel Paket
TXT_BATTLE,Battle,Trận Đấu,战斗,戰鬥,戦い,Bataille,Schlacht,Batalla,Batalha,معركة,Боевой,전투,Battaglia,युद्ध,Labanan,Pertarungan,การต่อสู้,Savaş
TXT_BATTLE_DESCRIPTION,"
A mode where you can 1v1 battle other Commanders

Commander 
can win gold upon victory!

More gold is give for higher tiers

","
Chế độ mà bạn có thể chiến đấu 1v1 với các Chỉ huy khác

Chỉ huy 
có thể giành được vàng khi chiến thắng!

Nhiều vàng hơn được tặng cho các cấp cao hơn

","
您可以与其他指挥官进行 1v1 战斗的模式

指挥官 
胜利即可赢得金牌！

等级越高，奖励越多

",,"
他の指揮官と1対1で対戦できるモード

指揮官 
勝利するとゴールドを獲得できます！

より高いティアにはより多くのゴ​​ールドが与えられます

","
Un mode où vous pouvez affronter d'autres commandants en 1v1

Le commandant 
peut gagner l'or en cas de victoire !

Plus d'or est donné pour les niveaux supérieurs

","
Ein Modus, in dem Sie 1v1 gegen andere Kommandanten antreten können

Kommandant 
kann Gold gewinnen, wenn man siegt!

Für höhere Stufen gibt es mehr Gold

","
Un modo en el que puedes luchar 1 contra 1 contra otros comandantes.

Comandante 
¡Puede ganar oro tras la victoria!

Se otorga más oro para niveles más altos.

","
Um modo onde você pode lutar 1v1 contra outros Comandantes

Comandante 
pode ganhar ouro após a vitória!

Mais ouro é oferecido para níveis mais altos

","
وضع يمكنك من خلاله قتال القادة الآخرين 1 ضد 1

القائد 
يمكن الفوز بالذهب عند النصر!

يتم إعطاء المزيد من الذهب للمستويات الأعلى

","
Режим, в котором вы можете сражаться 1 на 1 с другими командирами.

Командир 
может выиграть золото после победы!

Больше золота дается за более высокие уровни

","
다른 사령관과 1v1로 대결할 수 있는 모드

사령관 
승리하면 금메달을 얻을 수 있습니다!

더 높은 등급에는 더 많은 금이 제공됩니다.

","
Una modalità in cui puoi combattere 1v1 contro altri comandanti

Comandante 
può vincere l'oro dopo la vittoria!

Viene data più oro per i livelli più alti

","
एक मोड जहां आप 1v1 अन्य कमांडरों से युद्ध कर सकते हैं

कमांडर 
जीत पर जीत सकते हैं सोना!

उच्च स्तरों के लिए अधिक सोना दिया जाता है

","
Isang mode kung saan maaari mong 1v1 labanan ang iba pang mga Commander

kumander 
maaaring manalo ng ginto sa tagumpay!

Mas maraming ginto ang ibibigay para sa mas mataas na tier

","
Mode di mana kamu bisa bertarung 1v1 dengan Komandan lainnya

Komandan 
bisa memenangkan emas demi kemenangan!

Lebih banyak emas diberikan untuk tingkatan yang lebih tinggi

","
โหมดที่คุณสามารถต่อสู้กับผู้บังคับการคนอื่นๆ แบบ 1ต่อ1

ผู้บัญชาการ 
สามารถคว้าทองได้เมื่อได้รับชัยชนะ!

มีการมอบทองมากขึ้นสำหรับระดับที่สูงขึ้น

","
Diğer Komutanlarla 1v1 savaşabileceğiniz bir mod

Komutan 
zafer üzerine altın kazanabilirsiniz!

Daha yüksek seviyeler için daha fazla altın verilir

"
TXT_BATTLE_X_TIMES,Win Battle {x} Times,Thắng Trận {x} Lần,赢得战斗 {x} 次,贏得戰鬥 {x} 次,バトルに {x} 回勝利する,Gagnez La Bataille {x} fois,Gewinne Den Kampf {x} Mal,Gana La Batalla {x} Veces,Vença Batalhas {x} Vezes,اربح معركة {x} مرة,выиграйте битву {x} раз,전투 {x}번 승리,Vinci La Battaglia {x} Volte,लड़ाई जीतें {x} बार,Manalo Sa Labanan {x} Beses,Menangkan Pertempuran {x} Kali,ชนะการต่อสู้ {x} ครั้ง,Savaşı {x} Kez Kazanın
TXT_BATTLING,Battling,Chiến Đấu,战斗,戰鬥,戦っている,Se Battre,Kämpfen,Luchando,Lutando,القتال,Борьба,싸우는,Combattendo,जूझ,Nakikipaglaban,Berjuang,การต่อสู้,Mücadele
TXT_BEGINNER_CHECK_IN,Beginner Check-in,Điểm Danh Người Mới,新手签到,新手簽到,初心者チェックイン,Enregistrement pour débutant,Einchecken für Anfänger,Registro para principiantes,Check-in Iniciante,تسجيل دخول المبتدئين,Регистрация для начинающих,초보자 체크인,Check-in per principianti,शुरुआती चेक-इन,Nagsisimulang Check-in,Check-in Pemula,เช็คอินสำหรับผู้เริ่มต้น,Acemi Check-in'i
TXT_BEST,Best,Tốt Nhất,最好的,,最高,Meilleur,Am Besten,Mejor,Melhor,أفضل,Лучший,최상의,Migliore,श्रेष्ठ,Pinakamahusay,Terbaik,ดีที่สุด,En Iyi
TXT_BIDDEN,Bidden,Được Đấu Thầu,比登,,入札された,Invité,Geboten,Ordenado,Licitado,المزايدة,Приказной,입찰,Invitato,बोली लगाई,Inaanyayahan,Diminta,เสนอราคา,Teklif Edilmiş
TXT_BIDDING,Bidding,Đấu Thầu,投标,,入札,Enchère,Bieten,Ofertas,Licitação,تقديم العطاءات,Торги,입찰,Offerta,बिडिंग,Pag-Bid,Penawaran,การเสนอราคา,Ihale
TXT_BID_NOW,Bid Now,Đấu Giá Ngay Bây Giờ,立即出价,,今すぐ入札してください,Enchérir Maintenant,Jetzt Bieten,Oferta Ahora,Lance Agora,محاولة الآن,Сделать Ставку Сейчас,지금 입찰하세요,Fai Un'offerta Adesso,बोली लगाओ,Bid Ngayon,Tawaran Sekarang,เสนอราคาตอนนี้,Şimdi Teklif Ver
TXT_BLACK_CHEST,Black Chest,Rương Đen,黑宝箱,黑寶箱,黒い宝箱,Coffre Au Trésor Noir,Schwarze Schatzkiste,Cofre Del Tesoro Negro,Baú Do Tesouro Preto,صندوق الكنز الأسود,Черный Сундук С Сокровищами,검은 보물 상자,Scrigno Del Tesoro Nero,काला खजाना संदूक,Itim Na Kaban Ng Kayamanan,Peti Harta Karun Hitam,หีบสมบัติสีดำ,Siyah Hazine Sandığı
